date,amount,state,store_no
2020-12-22,6.74,IL,35099
2020-12-15,5.88,IL,35099
2020-12-10,8.87,IL,35099
2020-12-03,8.87,IL,35099
2020-11-24,12.19,IL,35099
2020-11-17,10.76,IL,35099
2020-11-11,8.87,IL,35099
2020-11-07,10.28,IL,35099
2020-10-27,10.07,IL,35099
2020-10-22,2.54,IL,35099
2020-10-20,7.29,IL,35099
2020-10-13,7.64,IL,35099
2020-10-06,11.28,IL,35099
2020-09-29,8.87,IL,35099
2020-09-26,23.18,IL,35099
2020-09-22,13.19,IL,35099
2020-09-14,8.08,IL,03799
2020-09-10,12.08,IL,35099
2020-08-25,10.97,IL,35099
2020-08-18,8.57,IL,35099
2020-08-04,12.51,IL,35099
2020-07-28,12.51,IL,35099
2020-07-22,13.2,IL,35099
2020-07-14,11.4,IL,35099
2020-07-01,4.32,IL,35099
2020-06-24,9.87,IL,35099
2020-06-16,13.19,IL,35099
2020-06-10,10.98,IL,35099
2020-06-03,14.3,IL,35099
2020-05-30,10.98,IL,35099
2020-05-27,10.98,IL,35099
2020-05-24,7.64,IL,35099
2020-05-23,22.29,CA,50681
2020-05-13,11.41,IL,35099
2020-05-06,8.88,IL,35099
2020-04-29,8.88,IL,04066
2020-04-21,8.18,IL,35099
2020-04-08,12.41,IL,35099
2020-03-25,13.73,IL,35099
2020-03-17,11.52,IL,35099
2020-03-14,8.51,IL,35099
2020-03-04,13.18,IL,35099
2020-02-12,11.85,IL,35099
2020-02-08,33.67,IL,35099
2020-01-29,12.28,IL,35099
2020-01-20,20.96,IL,35099
2020-01-14,10.41,IL,35099
2020-01-10,10.41,IL,03799
2019-12-18,10.41,IL,35099
2019-12-16,4.86,IL,21328
2019-12-11,12.84,IL,35099
2019-12-11,30,CA,77758
2019-11-20,9.97,IL,35099
2019-10-24,5.53,IL,35099
2019-10-04,11.73,IL,04066
2019-09-14,5.29,IL,03799
2019-09-07,12.43,IL,35099
2019-08-28,5.55,IL,35099
2019-08-28,3.33,IL,35099
2019-08-17,17.75,IL,04066
2019-08-14,8.88,IL,04066
2019-07-20,15.27,WI,34354
2019-05-29,9.97,IL,04066
2019-04-06,3.26,IL,31277
2019-04-03,10.86,IL,03799
2019-02-27,8.88,IL,03799
2019-02-20,8.88,IL,03799
2019-01-09,9.31,IL,03799
2018-12-31,13.31,IL,04066
2018-11-24,2.1,WI,31505
2018-11-16,3.33,IL,04066
2018-10-25,3.33,IL,04066
2018-10-10,5.32,IL,04066
2018-08-25,8.86,IL,03799
2018-08-20,11.84,IL,21328
2018-07-28,26.01,IL,03799
2018-07-23,8.2,IL,04066
2018-07-07,12.14,IL,31277
2018-06-27,7.29,IL,04066
2018-06-19,13.57,IL,27903
2018-05-04,4.87,IL,04066
2018-03-03,10.34,IL,31277
2018-02-23,10.2,IL,04066
2018-01-31,10.63,IL,04066
2018-01-05,10.35,IL,23404
2017-11-22,5.97,IL,03799
2017-11-03,4.87,IL,04066
2017-10-17,4.87,IL,21328
2017-10-01,4.65,IL,21328
2017-09-16,11.09,IL,03799
2017-09-10,8.65,IL,04066
2017-08-21,9.42,IL,04066
2017-08-21,5.55,IL,21328
2017-08-18,3.76,IL,21328
2017-08-15,10.42,IL,04066
2017-08-11,3.33,IL,04066
2017-08-04,6.18,IL,03799
2017-07-31,3.76,IL,04066
2017-06-13,10.77,IL,04066
2017-05-26,6.83,IL,03799
2017-05-19,6.38,IL,03799
2017-05-13,8.84,IL,21328
2017-03-31,3.32,IL,21328
2017-03-12,4.74,IL,21328
2017-02-10,6.61,IL,21328
2017-01-14,11.36,IL,21328
2016-12-10,17.12,IL,04066
2016-11-11,7.26,IL,21328
2016-10-30,10.8,IL,04066
2016-10-15,7.26,IL,04066
2016-10-01,7.26,IL,21328
2016-09-18,5.18,IL,21328
2016-09-05,4.08,IL,04066
2016-08-28,4.84,IL,03799
2016-08-11,3.53,IL,04066
2016-07-25,2.21,IL,21328
2016-07-10,4.08,IL,04066
2016-06-25,7.45,IL,04066
2016-06-23,0.9,IL,04066
2016-05-18,3.31,IL,04066
2016-04-10,5.93,IL,03799
2016-03-14,8.7,IL,04066
2016-01-25,18.73,IL,04066
2015-12-30,7.72,IL,04066
2015-12-17,19.05,IL,04066
2015-10-30,3.31,IL,04066
2015-10-22,3.31,IL,04066
2015-10-12,3.21,IL,27899
2015-08-27,4.82,IL,26745
2015-08-17,3.52,IL,04066
2015-08-07,14.32,IL,04066
2015-06-02,2.21,IL,04066
2015-05-22,2.21,IL,03799
2015-04-27,2.21,IL,04066
2015-03-27,8.82,IL,04066
